countries;DHS;IPUMS;pumscode
Bangladesh;2011;2011;50
Benin;2011;2013;204
BurkinaFaso;2010;2006;854
Egypt;2008;2006;818
Ethiopia;2011;2007;231
Ghana;2014;2010;288
Guinea;2012;2014;324
Kenya;2008;2009;404
Lesotho;2009;2006;426
Liberia;2013;2008;430
Malawi;2010;2008;454
Mali;2012;2009;466
Mozambique;2011;2007;508
Myanmar;2015;2014;104
Nepal;2011;2011;524
Rwanda;2014;2012;646
Senegal;2014;2013;686
Tanzania;2015;2012;834
Uganda;2016;2014;800
Zimbabwe;2015;2012;716
Armenia;2010;2011;51
Bolivia;2008;2012;68
Cambodia;2014;2013;116
Indonesia;2012;2010;360
KyrgyzRepublic;2012;2009;417
SierraLeone;2013;2015;694
CostaRica;;2011;188
Ecuador;;2010;218
Iran;;2011;364
Mauritius;;2011;480
Romania;;2011;642
