countries;year;iso_code;IPUMS
Bangladesh;2011;BGD;2011
Benin;2013;BEN;2013
BurkinaFaso;2006;BFA;2006
Egypt;2006;EGY;2006
Ethiopia;2007;ETH;2007
Ghana;2010;GHA;2010
Guinea;2014;GIN;2014
Kenya;2009;KEN;2009
Lesotho;2006;LSO;2006
Liberia;2008;LBR;2008
Malawi;2008;MWI;2008
Mali;2009;MLI;2009
Mozambique;2007;MOZ;2007
Myanmar;2014;MMR;2014
Nepal;2011;NPL;2011
Senegal;2013;SEN;2013
Tanzania;2012;TZA;2012
Uganda;2014;UGA;2014
Zimbabwe;2012;ZWE;2012
Armenia;2011;ARM;2011
Bolivia;2012;BOL;2012
Cambodia;2013;KHM;2013
Indonesia;2010;IDN;2010
KyrgyzRepublic;2009;KGZ;2009
SierraLeone;2015;SLE;2015
CostaRica;2011;CRI;2011
Ecuador;2010;ECU;2010
Iran;2011;IRN;2011
Mauritius;2011;MRT;2011
Romania;2011;ROU;2011
